age,attrition,department,distance from home (miles),education,education field,marital status,monthly income,number of companies worked,work life balance,years at company
56,0,Sales,6,Bachelor,Life Sciences,Married,13212,9,Good,7
30,0,Sales,12,Bachelor,Technical Degree,Single,6577,0,Better,5
41,0,Sales,1,Bachelor,Marketing,Married,8392,1,Better,10
28,0,Research & Development,17,College,Medical,Divorced,4558,1,Better,10
25,1,Research & Development,3,Bachelor,Medical,Married,4031,5,Better,2
52,0,Research & Development,3,Bachelor,Medical,Married,7969,2,Better,5
45,0,Research & Development,10,College,Life Sciences,Married,2654,3,Good,2
52,0,Research & Development,4,College,Life Sciences,Married,16555,2,Bad,5
42,0,Research & Development,29,College,Life Sciences,Divorced,4556,2,Better,5
30,0,Research & Development,2,Bachelor,Life Sciences,Single,6091,2,Better,5
60,0,Research & Development,7,Bachelor,Life Sciences,Married,19566,5,Bad,29
46,0,Research & Development,18,Bachelor,Medical,Divorced,4810,2,Good,10
42,0,Research & Development,28,Master,Technical Degree,Married,4523,0,Best,6
24,1,Sales,1,Below College,Technical Degree,Single,3202,1,Better,5
34,1,Sales,6,College,Marketing,Divorced,2351,0,Good,2
38,0,Research & Development,2,College,Life Sciences,Married,1702,1,Better,1
40,0,Sales,2,Master,Life Sciences,Married,18041,0,Better,20
26,0,Research & Development,23,Bachelor,Life Sciences,Divorced,2886,1,Bad,3
30,0,Research & Development,3,Bachelor,Life Sciences,Married,2097,4,Bad,5
29,0,Research & Development,3,Master,Medical,Married,11935,1,Better,10
29,1,Research & Development,25,Doctor,Technical Degree,Married,2546,5,Best,2
19,1,Human Resources,2,College,Technical Degree,Single,2564,1,Best,1
30,0,Sales,22,Master,Other,Married,8412,0,Better,9
57,0,Sales,29,Bachelor,Marketing,Divorced,14118,3,Good,1
50,0,Research & Development,29,Master,Life Sciences,Married,17046,0,Better,27
30,0,Research & Development,2,Bachelor,Medical,Single,2564,0,Good,11
60,0,Sales,28,Bachelor,Marketing,Married,10266,4,Best,18
47,0,Research & Development,2,College,Medical,Divorced,5070,5,Better,5
46,0,Research & Development,2,Bachelor,Life Sciences,Married,17861,6,Bad,3
35,0,Research & Development,22,Bachelor,Life Sciences,Single,4230,0,Better,5
54,0,Research & Development,8,Master,Life Sciences,Single,3780,7,Better,1
34,0,Research & Development,2,Master,Life Sciences,Divorced,2768,3,Better,7
46,0,Sales,10,Bachelor,Marketing,Married,9071,2,Better,3
31,0,Research & Development,9,Below College,Life Sciences,Divorced,10648,1,Best,13
33,1,Research & Development,15,Below College,Medical,Married,13610,7,Best,7
33,1,Research & Development,10,Below College,Medical,Divorced,3408,7,Better,4
30,0,Sales,7,Below College,Marketing,Single,2983,0,Better,3
35,0,Research & Development,16,Bachelor,Life Sciences,Married,7632,4,Better,8
31,1,Research & Development,20,Bachelor,Life Sciences,Married,9824,3,Better,1
34,1,Human Resources,23,Bachelor,Human Resources,Divorced,9950,9,Better,3
42,0,Research & Development,5,College,Other,Married,2093,4,Better,2
36,0,Sales,10,Master,Medical,Single,9980,1,Good,10
22,1,Research & Development,4,Below College,Technical Degree,Single,3894,5,Better,2
48,0,Sales,2,Doctor,Marketing,Married,4051,2,Better,9
55,0,Sales,18,Doctor,Life Sciences,Single,16835,3,Better,10
41,0,Sales,10,College,Life Sciences,Single,6230,7,Better,14
35,0,Sales,1,Bachelor,Marketing,Married,4717,9,Better,11
40,0,Research & Development,6,Bachelor,Life Sciences,Single,13237,7,Better,20
39,0,Research & Development,8,Below College,Life Sciences,Married,3755,1,Better,8
31,0,Sales,2,Below College,Life Sciences,Single,6582,4,Best,6
42,0,Research & Development,24,Bachelor,Medical,Married,7406,1,Good,10
45,0,Sales,2,Bachelor,Other,Married,4805,0,Best,8
26,1,Human Resources,17,Master,Life Sciences,Divorced,2741,0,Good,7
29,0,Research & Development,19,Bachelor,Technical Degree,Divorced,4262,4,Best,3
33,0,Research & Development,1,Doctor,Medical,Divorced,16184,4,Better,6
31,0,Sales,7,Bachelor,Life Sciences,Divorced,11557,9,Good,5
18,1,Sales,5,Bachelor,Marketing,Single,1878,1,Better,0
40,0,Sales,28,Bachelor,Other,Divorced,10932,3,Better,1
41,0,Research & Development,2,Master,Other,Single,6811,2,Better,8
26,0,Sales,29,College,Medical,Divorced,4306,5,Better,0
35,0,Sales,1,Bachelor,Medical,Single,4859,1,Better,5
34,0,Sales,21,Master,Life Sciences,Single,5337,1,Better,10
26,1,Research & Development,24,Bachelor,Technical Degree,Single,2340,1,Bad,1
37,0,Research & Development,1,Bachelor,Technical Degree,Single,7491,4,Best,6
46,0,Research & Development,18,Below College,Medical,Married,10527,5,Good,2
41,0,Sales,2,Doctor,Life Sciences,Married,16595,7,Better,18
37,0,Sales,9,Master,Medical,Divorced,8834,1,Better,9
52,0,Research & Development,6,College,Technical Degree,Divorced,5577,3,Better,10
32,1,Sales,11,Master,Other,Married,4707,8,Better,4
24,0,Sales,24,Bachelor,Medical,Married,2400,0,Better,2
38,0,Research & Development,10,Bachelor,Medical,Married,9824,3,Better,1
37,0,Research & Development,1,Master,Life Sciences,Married,6447,6,Good,6
49,0,Research & Development,18,Master,Life Sciences,Divorced,19502,1,Better,31
24,0,Research & Development,23,Bachelor,Medical,Married,2725,1,Better,6
26,0,Sales,28,College,Marketing,Married,6272,1,Best,5
24,0,Research & Development,17,College,Other,Married,2127,1,Better,1
50,0,Human Resources,3,Bachelor,Medical,Married,18200,1,Better,32
25,0,Sales,13,Below College,Medical,Married,2096,1,Better,7
24,1,Research & Development,7,Bachelor,Life Sciences,Married,2886,1,Better,6
30,1,Sales,12,Master,Life Sciences,Married,2033,1,Best,1
34,0,Research & Development,1,College,Life Sciences,Married,3622,1,Better,6
31,1,Sales,13,Master,Medical,Divorced,4233,2,Bad,3
35,0,Research & Development,25,College,Other,Single,3681,4,Better,3
31,0,Sales,6,Master,Medical,Divorced,5460,4,Best,7
27,0,Research & Development,6,Master,Medical,Divorced,2187,0,Good,5
37,0,Sales,2,Bachelor,Marketing,Married,9602,4,Good,3
20,0,Research & Development,1,Bachelor,Life Sciences,Single,2836,1,Best,1
42,0,Research & Development,2,Master,Life Sciences,Married,4089,1,Better,10
43,0,Research & Development,6,Master,Other,Divorced,16627,4,Good,1
38,0,Research & Development,1,Below College,Life Sciences,Single,2619,3,Good,0
43,0,Research & Development,9,Doctor,Medical,Divorced,5679,3,Better,8
48,0,Research & Development,1,Master,Life Sciences,Married,15402,7,Bad,3
44,0,Human Resources,1,Master,Life Sciences,Single,5985,4,Best,2
34,0,Sales,14,Bachelor,Technical Degree,Divorced,2579,1,Better,8
27,1,Sales,2,Below College,Marketing,Divorced,3041,0,Better,4
21,0,Sales,22,Below College,Technical Degree,Single,3447,1,Better,3
44,0,Research & Development,3,Master,Other,Married,19513,4,Best,2
22,0,Research & Development,6,Below College,Medical,Married,2773,0,Better,2
33,0,Sales,8,Master,Marketing,Divorced,7104,0,Better,5
32,0,Research & Development,9,Master,Life Sciences,Married,6322,1,Good,6
30,0,Research & Development,3,Bachelor,Medical,Divorced,2083,1,Better,1
53,0,Sales,1,Below College,Medical,Single,8381,7,Best,14
34,0,Research & Development,1,Doctor,Life Sciences,Married,2691,1,Good,10
45,1,Sales,26,Master,Life Sciences,Married,4286,2,Better,1
26,0,Research & Development,6,Bachelor,Life Sciences,Married,2659,1,Better,3
37,0,Research & Development,3,Bachelor,Other,Married,9434,1,Better,10
29,0,Sales,3,College,Medical,Married,5561,1,Good,6
35,0,Research & Development,6,Master,Life Sciences,Single,6646,1,Better,17
33,0,Research & Development,6,Bachelor,Life Sciences,Divorced,7725,3,Bad,13
54,0,Human Resources,19,Master,Medical,Married,10725,2,Best,9
36,0,Research & Development,9,College,Medical,Divorced,8847,2,Better,3
27,0,Research & Development,3,Master,Medical,Single,2045,0,Better,4
20,1,Research & Development,10,Below College,Medical,Single,1009,1,Better,1
33,1,Research & Development,3,Bachelor,Life Sciences,Single,3348,1,Better,10
35,0,Research & Development,3,Bachelor,Life Sciences,Married,1281,1,Better,1
23,0,Research & Development,4,Bachelor,Medical,Married,2819,2,Best,3
25,0,Sales,8,Bachelor,Life Sciences,Married,4851,0,Better,3
38,0,Sales,7,Master,Marketing,Single,4028,0,Better,7
29,0,Research & Development,1,Master,Life Sciences,Divorced,2720,1,Better,10
48,0,Sales,2,Below College,Marketing,Married,8120,3,Better,2
27,0,Sales,3,Below College,Medical,Divorced,4647,1,Better,6
37,0,Research & Development,10,College,Life Sciences,Single,4680,3,Better,1
50,0,Research & Development,28,Below College,Medical,Married,3221,1,Better,20
34,0,Research & Development,9,Bachelor,Medical,Single,8621,1,Best,8
24,1,Sales,3,College,Life Sciences,Single,4577,9,Better,2
39,0,Research & Development,2,Master,Technical Degree,Single,4553,1,Better,20
32,0,Sales,10,Bachelor,Marketing,Single,5396,1,Good,10
50,1,Sales,8,College,Technical Degree,Married,6796,3,Better,4
38,0,Research & Development,1,Master,Life Sciences,Single,7625,0,Good,9
27,0,Research & Development,1,College,Life Sciences,Married,7412,1,Better,9
32,0,Research & Development,3,College,Life Sciences,Single,11159,3,Better,7
47,0,Sales,14,Master,Marketing,Single,4960,2,Better,7
40,0,Sales,5,Master,Life Sciences,Married,10475,5,Better,18
53,0,Research & Development,7,Bachelor,Life Sciences,Married,14814,3,Better,5
41,0,Human Resources,10,Master,Human Resources,Divorced,19141,3,Good,21
60,0,Sales,16,Master,Marketing,Single,5405,8,Better,2
27,0,Research & Development,10,College,Life Sciences,Divorced,8793,1,Good,9
41,0,Human Resources,1,Bachelor,Human Resources,Married,19189,1,Better,22
50,0,Sales,8,Master,Marketing,Married,3875,7,Better,2
28,1,Research & Development,1,College,Life Sciences,Single,2216,7,Better,7
36,0,Research & Development,8,Bachelor,Life Sciences,Married,11713,9,Better,8
38,0,Research & Development,1,Bachelor,Life Sciences,Single,7861,4,Best,1
44,0,Research & Development,24,Bachelor,Medical,Single,3708,2,Better,5
47,0,Sales,3,Bachelor,Medical,Divorced,13770,9,Good,22
30,0,Sales,27,Doctor,Marketing,Divorced,5304,7,Good,8
29,0,Sales,10,Bachelor,Life Sciences,Single,2642,1,Better,1
42,1,Research & Development,19,Bachelor,Medical,Divorced,2759,6,Better,2
43,0,Sales,15,Bachelor,Life Sciences,Married,6804,3,Better,2
34,0,Research & Development,8,College,Medical,Single,6142,3,Better,5
23,0,Research & Development,9,Below College,Medical,Married,2500,1,Best,4
39,0,Human Resources,3,Bachelor,Human Resources,Married,6389,9,Bad,8
56,0,Research & Development,9,Bachelor,Medical,Married,11103,7,Good,10
40,0,Research & Development,2,Below College,Medical,Single,2342,0,Good,4
27,0,Research & Development,7,Bachelor,Medical,Single,6811,8,Bad,7
29,0,Sales,10,Bachelor,Marketing,Divorced,2297,1,Better,2
53,0,Research & Development,6,Bachelor,Life Sciences,Single,2450,2,Better,2
35,0,Research & Development,2,Master,Life Sciences,Divorced,5093,2,Best,1
32,0,Research & Development,24,Master,Life Sciences,Married,5309,1,Better,10
38,0,Research & Development,2,Doctor,Medical,Married,3057,6,Bad,1
34,0,Research & Development,8,Doctor,Life Sciences,Divorced,5121,3,Better,0
52,0,Sales,3,Master,Marketing,Married,16856,1,Best,34
33,1,Research & Development,1,Master,Other,Single,2686,1,Good,10
25,0,Sales,26,Below College,Medical,Single,6180,1,Good,6
45,0,Sales,2,College,Technical Degree,Single,6632,0,Better,8
23,0,Research & Development,10,Below College,Medical,Single,3505,1,Better,2
47,1,Sales,27,College,Life Sciences,Single,6397,4,Better,5
34,0,Sales,2,Bachelor,Other,Single,6274,1,Better,6
55,1,Research & Development,2,Bachelor,Medical,Married,19859,5,Better,5
36,0,Sales,8,Master,Life Sciences,Single,7587,1,Better,10
52,0,Research & Development,19,Master,Medical,Married,4258,0,Better,4
26,0,Research & Development,1,College,Life Sciences,Divorced,4364,3,Better,2
29,0,Research & Development,27,Bachelor,Medical,Married,4335,4,Good,8
26,1,Sales,8,Bachelor,Technical Degree,Single,5326,6,Good,4
34,0,Research & Development,1,Master,Life Sciences,Single,3280,2,Better,4
54,0,Research & Development,19,Master,Medical,Divorced,5485,9,Better,5
27,0,Sales,8,Below College,Marketing,Married,4342,0,Better,4
37,0,Research & Development,10,Below College,Life Sciences,Divorced,2782,0,Good,5
38,0,Research & Development,2,Master,Life Sciences,Single,5980,6,Better,15
34,0,Research & Development,2,Master,Medical,Single,4381,1,Better,6
35,0,Sales,8,Master,Life Sciences,Married,2572,1,Good,3
30,0,Research & Development,1,Bachelor,Life Sciences,Married,3833,3,Better,2
40,0,Research & Development,2,College,Medical,Married,4244,1,Better,8
34,0,Sales,8,College,Life Sciences,Married,6500,5,Better,3
42,0,Research & Development,8,Bachelor,Life Sciences,Divorced,18430,1,Good,24
23,1,Research & Development,6,Bachelor,Life Sciences,Married,1601,1,Better,0
24,0,Research & Development,9,Bachelor,Life Sciences,Divorced,2694,1,Better,1
52,0,Research & Development,11,Master,Life Sciences,Married,3149,8,Better,5
50,0,Research & Development,2,Bachelor,Medical,Married,17639,5,Better,4
29,1,Research & Development,1,College,Life Sciences,Married,2319,1,Better,1
33,0,Research & Development,7,Bachelor,Medical,Married,11691,0,Best,13
33,1,Sales,16,Bachelor,Marketing,Single,5324,5,Better,3
47,0,Research & Development,2,College,Other,Married,16752,1,Good,26
36,0,Research & Development,1,Bachelor,Other,Married,5228,0,Better,9
29,0,Research & Development,23,College,Life Sciences,Married,2700,1,Better,10
58,1,Research & Development,2,Master,Life Sciences,Single,19246,7,Better,31
35,0,Research & Development,1,Master,Life Sciences,Single,2506,3,Better,2
42,0,Research & Development,1,College,Life Sciences,Married,6062,9,Better,4
28,1,Research & Development,2,Master,Medical,Single,4382,6,Good,2
36,0,Human Resources,13,Bachelor,Human Resources,Married,2143,4,Better,5
32,0,Research & Development,4,Bachelor,Life Sciences,Married,6162,1,Better,14
40,0,Research & Development,16,Master,Medical,Single,5094,6,Better,1
30,0,Research & Development,2,Bachelor,Medical,Single,6877,5,Good,0
45,0,Research & Development,2,Bachelor,Life Sciences,Single,2274,1,Better,1
42,0,Research & Development,29,Bachelor,Life Sciences,Married,4434,1,Good,9
38,0,Research & Development,12,Bachelor,Life Sciences,Divorced,6288,2,Good,4
34,0,Research & Development,16,Master,Life Sciences,Single,2553,1,Better,5
49,1,Sales,11,Bachelor,Marketing,Married,7654,1,Best,9
55,1,Sales,2,Below College,Medical,Single,5160,4,Good,9
43,0,Research & Development,14,College,Life Sciences,Married,17159,6,Better,4
27,0,Research & Development,5,Below College,Technical Degree,Divorced,12808,1,Better,9
35,0,Research & Development,7,Bachelor,Other,Single,10221,3,Best,8
28,0,Sales,2,Master,Marketing,Married,4779,1,Better,8
34,0,Human Resources,3,College,Human Resources,Married,3737,0,Bad,3
26,1,Research & Development,5,College,Medical,Married,2366,1,Better,8
27,0,Research & Development,3,Bachelor,Medical,Married,1706,1,Good,0
51,0,Sales,26,Master,Marketing,Married,16307,2,Good,20
44,0,Research & Development,4,Bachelor,Medical,Single,5933,9,Good,5
25,0,Research & Development,2,Below College,Medical,Single,3424,7,Good,4
33,0,Sales,1,Bachelor,Medical,Divorced,4037,1,Better,9
35,0,Research & Development,27,Below College,Medical,Single,2559,1,Good,6
36,0,Sales,1,College,Life Sciences,Married,6201,1,Good,18
32,0,Sales,13,Master,Life Sciences,Divorced,4403,2,Good,5
30,0,Research & Development,5,Master,Life Sciences,Divorced,3761,9,Good,5
53,0,Sales,7,College,Marketing,Married,10934,7,Better,5
45,0,Sales,9,Bachelor,Marketing,Divorced,10761,4,Better,5
32,0,Research & Development,8,College,Medical,Married,5175,5,Good,5
52,0,Research & Development,25,Master,Medical,Married,13826,3,Better,9
37,0,Sales,16,Master,Marketing,Divorced,6334,4,Better,1
28,0,Human Resources,8,College,Medical,Divorced,4936,1,Better,5
22,0,Research & Development,1,College,Life Sciences,Married,4775,6,Bad,2
44,0,Research & Development,8,Master,Life Sciences,Married,2818,2,Good,3
42,0,Research & Development,2,Below College,Medical,Single,2515,5,Better,2
36,0,Human Resources,8,Bachelor,Life Sciences,Married,2342,0,Better,5
25,0,Sales,3,Below College,Other,Married,4194,1,Better,5
35,0,Research & Development,9,Bachelor,Life Sciences,Married,10685,1,Better,17
35,1,Research & Development,25,Master,Life Sciences,Divorced,2022,1,Good,10
32,0,Research & Development,1,Bachelor,Life Sciences,Divorced,2314,0,Better,3
25,0,Sales,4,Below College,Marketing,Married,4256,1,Best,5
49,0,Research & Development,1,Bachelor,Technical Degree,Married,3580,2,Better,4
24,0,Research & Development,4,Below College,Life Sciences,Married,3162,0,Good,5
32,0,Sales,5,College,Life Sciences,Married,6524,1,Better,10
38,0,Sales,9,Bachelor,Marketing,Married,2899,0,Better,2
42,0,Research & Development,3,Bachelor,Life Sciences,Married,5231,2,Good,5
31,0,Research & Development,11,Master,Life Sciences,Married,2356,3,Better,6
29,1,Sales,1,Bachelor,Medical,Divorced,2800,6,Better,3
53,0,Sales,8,Bachelor,Marketing,Married,11836,5,Better,2
35,0,Research & Development,25,Bachelor,Technical Degree,Married,10903,3,Better,13
37,0,Sales,21,College,Medical,Married,2973,5,Better,5
53,0,Research & Development,23,Master,Life Sciences,Single,14275,6,Better,12
43,0,Research & Development,1,Bachelor,Life Sciences,Married,5562,4,Good,5
47,0,Sales,2,College,Marketing,Married,4537,0,Better,7
37,0,Sales,19,College,Medical,Single,7642,1,Better,10
50,0,Research & Development,2,Master,Life Sciences,Divorced,17924,1,Better,31
39,0,Human Resources,2,Bachelor,Life Sciences,Married,5204,8,Better,5
33,0,Human Resources,3,College,Human Resources,Divorced,2277,3,Best,4
32,1,Research & Development,25,Master,Life Sciences,Single,2795,1,Bad,1
29,0,Research & Development,7,Below College,Medical,Divorced,2532,6,Better,4
44,0,Research & Development,9,College,Life Sciences,Married,2559,1,Better,8
28,0,Sales,5,Master,Medical,Single,4908,1,Better,4
58,1,Research & Development,2,Below College,Life Sciences,Divorced,2380,9,Good,1
43,0,Research & Development,8,Bachelor,Life Sciences,Divorced,4765,4,Best,1
20,1,Sales,2,Bachelor,Medical,Single,2044,1,Good,2
21,1,Research & Development,18,Below College,Other,Single,2693,1,Good,1
36,0,Research & Development,14,Below College,Life Sciences,Married,6586,0,Good,16
47,0,Sales,2,Master,Life Sciences,Single,3294,1,Good,3
22,1,Research & Development,3,Below College,Life Sciences,Married,4171,0,Best,3
41,1,Research & Development,2,Master,Life Sciences,Divorced,2778,4,Good,7
28,0,Research & Development,9,Bachelor,Medical,Divorced,2377,5,Better,2
39,1,Research & Development,6,Bachelor,Medical,Married,2404,7,Bad,2
27,0,Research & Development,4,Bachelor,Life Sciences,Single,2318,1,Better,1
34,0,Research & Development,10,Bachelor,Life Sciences,Divorced,2008,1,Better,1
42,0,Sales,14,College,Medical,Single,6244,7,Better,5
33,0,Research & Development,1,Master,Other,Single,2799,3,Better,3
58,0,Research & Development,5,Bachelor,Technical Degree,Divorced,10552,2,Better,6
31,0,Sales,7,Master,Life Sciences,Married,2329,3,Best,7
35,0,Research & Development,21,Below College,Life Sciences,Married,4014,1,Bad,10
49,0,Research & Development,8,College,Other,Married,7403,4,Good,26
48,0,Research & Development,20,Master,Medical,Married,2259,4,Good,0
31,0,Sales,20,College,Marketing,Married,6932,1,Good,9
36,0,Research & Development,7,Master,Other,Single,4678,2,Better,6
38,0,Research & Development,1,Bachelor,Technical Degree,Married,13582,1,Better,15
32,0,Research & Development,1,Bachelor,Life Sciences,Married,2332,6,Better,3
25,1,Sales,19,College,Marketing,Married,2413,1,Better,1
40,0,Sales,10,Master,Marketing,Divorced,9705,2,Good,1
26,0,Sales,1,Bachelor,Medical,Single,4294,1,Better,7
41,0,Research & Development,6,Bachelor,Medical,Single,4721,2,Better,18
36,0,Research & Development,2,Master,Medical,Single,2519,4,Better,11
19,1,Sales,21,Bachelor,Other,Single,2121,1,Best,1
20,1,Research & Development,4,Bachelor,Technical Degree,Single,2973,1,Better,1
31,0,Research & Development,12,Bachelor,Medical,Married,5855,0,Bad,9
40,0,Research & Development,9,Master,Medical,Divorced,3617,8,Better,1
32,0,Research & Development,3,Master,Medical,Married,6725,1,Best,8
36,1,Sales,3,Below College,Life Sciences,Married,10325,1,Better,16
33,0,Research & Development,1,Bachelor,Life Sciences,Single,6949,0,Better,5
37,1,Sales,1,Master,Life Sciences,Married,10609,5,Bad,14
45,0,Research & Development,4,College,Life Sciences,Married,4447,1,Good,9
29,0,Sales,20,Bachelor,Technical Degree,Married,2157,1,Better,3
35,0,Sales,18,Bachelor,Medical,Married,4601,1,Better,5
52,0,Research & Development,1,College,Life Sciences,Married,17099,2,Good,9
58,1,Research & Development,2,Bachelor,Technical Degree,Single,2479,4,Better,1
53,0,Sales,2,College,Medical,Divorced,14852,6,Best,17
30,0,Sales,8,College,Other,Divorced,7264,5,Best,8
38,0,Sales,10,Bachelor,Technical Degree,Single,5666,1,Better,5
35,0,Sales,3,Master,Life Sciences,Divorced,7823,6,Better,10
39,0,Sales,2,Doctor,Life Sciences,Single,7880,0,Better,8
40,1,Sales,24,Bachelor,Life Sciences,Single,13194,4,Good,1
47,0,Research & Development,16,Master,Medical,Divorced,5067,1,Best,19
36,0,Sales,8,Master,Technical Degree,Divorced,5079,4,Better,7
31,1,Research & Development,9,College,Medical,Single,2321,0,Better,3
33,0,Sales,17,Bachelor,Life Sciences,Single,17444,1,Better,10
29,1,Research & Development,10,Bachelor,Life Sciences,Single,2404,6,Better,0
33,0,Research & Development,13,Below College,Life Sciences,Single,3452,3,Better,3
45,0,Research & Development,1,Master,Medical,Divorced,2270,3,Better,5
50,0,Research & Development,1,College,Medical,Divorced,17399,9,Good,5
33,0,Research & Development,1,Master,Other,Married,5488,1,Better,6
41,0,Research & Development,9,Bachelor,Medical,Divorced,19419,2,Best,18
27,0,Research & Development,16,Master,Technical Degree,Married,2811,9,Better,2
45,0,Research & Development,23,College,Life Sciences,Married,3633,1,Better,9
47,0,Sales,4,College,Life Sciences,Single,4163,1,Better,9
30,1,Research & Development,22,Bachelor,Life Sciences,Married,2132,4,Better,5
50,0,Research & Development,24,Bachelor,Life Sciences,Married,13973,3,Better,12
38,0,Research & Development,10,Below College,Medical,Married,2684,0,Good,2
46,0,Research & Development,7,College,Medical,Divorced,10845,6,Better,8
24,0,Research & Development,17,Below College,Medical,Divorced,4377,1,Better,4
35,1,Research & Development,14,Master,Other,Divorced,3743,1,Bad,4
31,0,Research & Development,1,Below College,Life Sciences,Married,4148,1,Better,4
18,0,Research & Development,5,College,Life Sciences,Single,1051,1,Better,0
54,0,Research & Development,17,Bachelor,Technical Degree,Married,10739,8,Better,10
35,0,Research & Development,25,Master,Medical,Divorced,10388,1,Good,16
30,0,Research & Development,8,College,Life Sciences,Married,11416,0,Good,8
20,1,Research & Development,11,Bachelor,Medical,Single,2600,1,Better,1
30,1,Research & Development,5,Bachelor,Medical,Single,2422,0,Better,3
26,0,Research & Development,2,College,Medical,Married,5472,1,Better,8
22,0,Research & Development,8,Below College,Life Sciences,Married,2451,1,Good,4
48,0,Research & Development,6,Bachelor,Life Sciences,Single,4240,2,Better,2
48,0,Research & Development,4,Master,Life Sciences,Single,10999,7,Better,15
41,0,Research & Development,7,College,Medical,Single,5003,6,Better,2
39,0,Research & Development,1,Below College,Life Sciences,Married,12742,1,Better,21
27,0,Research & Development,2,Master,Life Sciences,Married,4227,0,Better,3
35,0,Research & Development,10,Bachelor,Other,Divorced,3917,1,Good,3
42,0,Sales,5,College,Marketing,Married,18303,6,Best,1
50,0,Research & Development,9,Bachelor,Life Sciences,Married,2380,4,Better,1
59,0,Research & Development,2,Bachelor,Life Sciences,Single,13726,3,Better,5
37,1,Research & Development,11,College,Medical,Married,4777,5,Bad,1
55,0,Research & Development,18,Master,Medical,Married,6385,3,Better,8
41,0,Research & Development,7,Below College,Life Sciences,Divorced,19973,1,Better,21
38,0,Sales,3,Master,Life Sciences,Single,6861,8,Better,1
26,1,Sales,29,College,Medical,Single,4969,8,Better,2
52,1,Sales,2,Below College,Marketing,Married,19845,1,Better,32
44,0,Sales,28,Bachelor,Medical,Married,13320,3,Better,12
50,0,Sales,1,Bachelor,Life Sciences,Married,6347,0,Better,18
36,1,Research & Development,16,Master,Life Sciences,Single,2743,1,Better,17
39,0,Research & Development,22,Bachelor,Medical,Single,10880,1,Better,21
33,0,Sales,8,Below College,Life Sciences,Single,2342,0,Good,2
45,0,Sales,11,College,Life Sciences,Married,17650,3,Best,9
32,0,Research & Development,29,Master,Medical,Single,4025,9,Better,8
34,0,Sales,1,Master,Marketing,Divorced,9725,0,Good,15
59,0,Sales,1,College,Technical Degree,Married,11904,3,Bad,6
45,0,Human Resources,24,Master,Medical,Single,2177,1,Better,6
53,0,Sales,2,Bachelor,Marketing,Married,7525,2,Better,15
36,1,Research & Development,15,Bachelor,Other,Divorced,4834,7,Good,1
26,1,Research & Development,2,Bachelor,Life Sciences,Married,2042,6,Better,3
34,0,Sales,10,Master,Life Sciences,Married,2220,1,Better,1
28,0,Sales,10,Below College,Medical,Married,1052,1,Better,1
38,0,Research & Development,3,Master,Other,Married,2821,3,Better,2
50,0,Research & Development,2,Master,Medical,Married,19237,2,Good,8
37,0,Research & Development,3,Bachelor,Other,Single,4107,3,Good,4
40,0,Sales,26,Bachelor,Marketing,Married,8396,1,Good,7
26,0,Research & Development,1,Below College,Medical,Divorced,2007,1,Better,5
46,0,Research & Development,1,Master,Medical,Divorced,19627,9,Better,2
54,0,Sales,2,Master,Life Sciences,Married,10686,6,Better,9
56,0,Research & Development,9,Bachelor,Medical,Married,2942,2,Better,5
36,0,Research & Development,12,Doctor,Medical,Single,8858,0,Good,14
55,0,Research & Development,2,Below College,Medical,Single,16756,7,Best,9
43,0,Sales,25,Bachelor,Medical,Divorced,10798,5,Better,1
20,1,Sales,9,Bachelor,Marketing,Single,2323,1,Better,2
21,1,Research & Development,10,Bachelor,Life Sciences,Single,1416,1,Good,1
46,0,Research & Development,8,Master,Life Sciences,Divorced,4615,8,Better,16
51,1,Research & Development,4,Master,Life Sciences,Married,2461,9,Best,10
28,1,Research & Development,24,College,Technical Degree,Single,8722,1,Good,10
26,0,Research & Development,1,College,Medical,Married,3955,1,Better,5
30,0,Research & Development,20,Bachelor,Other,Married,9957,0,Good,6
41,0,Research & Development,7,College,Technical Degree,Married,3376,1,Better,10
38,0,Research & Development,17,Below College,Life Sciences,Married,8823,0,Good,19
40,0,Research & Development,20,Master,Technical Degree,Married,10322,4,Better,11
27,0,Research & Development,8,Doctor,Life Sciences,Married,4621,1,Better,3
55,0,Research & Development,2,Below College,Life Sciences,Married,10976,3,Better,3
28,0,Research & Development,10,Bachelor,Other,Single,3660,3,Best,8
44,1,Human Resources,1,College,Medical,Married,10482,9,Better,20
33,0,Research & Development,5,Bachelor,Life Sciences,Divorced,7119,4,Better,3
35,1,Sales,4,Bachelor,Technical Degree,Single,9582,0,Better,8
33,1,Research & Development,29,Master,Medical,Single,4508,1,Better,13
28,0,Research & Development,15,College,Life Sciences,Divorced,2207,1,Good,4
34,0,Research & Development,3,Below College,Life Sciences,Single,7756,0,Good,6
37,0,Sales,10,Master,Life Sciences,Divorced,6694,2,Better,1
25,1,Research & Development,4,Below College,Technical Degree,Married,3691,1,Best,7
26,1,Research & Development,21,Bachelor,Medical,Divorced,2377,1,Good,1
33,1,Research & Development,25,Bachelor,Medical,Single,2313,4,Better,2
42,0,Research & Development,2,College,Medical,Married,17665,0,Better,22
28,1,Research & Development,1,Bachelor,Medical,Divorced,2596,1,Better,1
50,1,Sales,1,Master,Other,Single,4728,3,Better,0
33,0,Sales,7,Bachelor,Life Sciences,Married,4302,0,Better,3
34,0,Research & Development,3,Master,Life Sciences,Married,2979,3,Better,0
48,0,Research & Development,1,Master,Medical,Single,16885,2,Good,5
